地区,センター,可燃ごみ,不燃ごみ,容器包装プラスチック,ペットボトル,空き缶,空きびん,有害ごみ
峰山町元町区,,月 木,火1,水2 水4,水2 水4,水1 水3,水1 水3,水3
峰山町１区,,月 木,火1,水2 水4,水2 水4,水1 水3,水1 水3,水3
峰山町２区,,月 木,火1,水2 水4,水2 水4,水1 水3,水1 水3,水3
峰山町３区,,月 木,火1,水2 水4,水2 水4,水1 水3,水1 水3,水3
峰山町４区,,月 木,火1,水2 水4,水2 水4,水1 水3,水1 水3,水3
峰山町５区,,月 木,火1,水2 水4,水2 水4,水1 水3,水1 水3,水3
峰山町６区,,月 木,火1,水2 水4,水2 水4,水1 水3,水1 水3,水3
峰山町７区,,月 木,火1,水2 水4,水2 水4,水1 水3,水1 水3,水3
峰山町８区,,月 木,火1,水2 水4,水2 水4,水1 水3,水1 水3,水3
峰山町９区,,月 木,火1,水2 水4,水2 水4,水1 水3,水1 水3,水3
峰山町１０区,,月 木,火1,水2 水4,水2 水4,水1 水3,水1 水3,水3
峰山町１１区,,月 木,火1,水2 水4,水2 水4,水1 水3,水1 水3,水3
峰山町１２区,,月 木,火1,水2 水4,水2 水4,水1 水3,水1 水3,水3
峰山町１３区,,月 木,火1,水2 水4,水2 水4,水1 水3,水1 水3,水3
峰山町１４区,,月 木,火1,水2 水4,水2 水4,水1 水3,水1 水3,水3
峰山町１５区,,月 木,火1,水2 水4,水2 水4,水1 水3,水1 水3,水3
峰山町１６区,,月 木,火1,水2 水4,水2 水4,水1 水3,水1 水3,水3
峰山町１７区,,月 木,火1,水2 水4,水2 水4,水1 水3,水1 水3,水3
峰山町１８区,,月 木,火1,水2 水4,水2 水4,水1 水3,水1 水3,水3
峰山町安,,火 金,木1,月2 月4,月2 月4,月1 月3,月1 月3,月3
峰山町西山,,火 金,木1,月2 月4,月2 月4,月1 月3,月1 月3,月3
峰山町小西,,火 金,木1,月2 月4,月2 月4,月1 月3,月1 月3,月3
峰山町菅,,火 金,木1,月2 月4,月2 月4,月1 月3,月1 月3,月3
峰山町新治,,火 金,木1,月2 月4,月2 月4,月1 月3,月1 月3,月3
峰山町二箇,,火 金,木1,月2 月4,月2 月4,月1 月3,月1 月3,月3
峰山町久次,,火 金,木1,月2 月4,月2 月4,月1 月3,月1 月3,月3
峰山町五箇,,火 金,木1,月2 月4,月2 月4,月1 月3,月1 月3,月3
峰山町鱒留,,火 金,木1,月2 月4,月2 月4,月1 月3,月1 月3,月3
峰山町長岡,,月 木,火1,水2 水4,水2 水4,水1 水3,水1 水3,水3
峰山町新町,,水 土,木2,金2 金4,金2 金4,金1 金3,金1 金3,金3
峰山町荒山,,水 土,木2,金2 金4,金2 金4,金1 金3,金1 金3,金3
峰山町内記,,水 土,木2,金2 金4,金2 金4,金1 金3,金1 金3,金3
峰山町丹波,,水 土,木2,金2 金4,金2 金4,金1 金3,金1 金3,金3
峰山町矢田,,水 土,木2,金2 金4,金2 金4,金1 金3,金1 金3,金3
峰山町橋木,,水 土,木2,金2 金4,金2 金4,金1 金3,金1 金3,金3
峰山町石丸,,月 木,火1,水2 水4,水2 水4,水1 水3,水1 水3,水3
峰山町赤坂,,月 木,火1,水2 水4,水2 水4,水1 水3,水1 水3,水3
峰山町大成,,金,木1,月2,月2,月3,月3,月3
峰山町茂地,,金,木1,月2,月2,月3,月3,月3
大宮町口大野,,月 木,金3,水1 水3,水1 水3,水1 水3,水1 水3,水1
大宮町奥大野,,月 木,金3,水1 水3,水1 水3,水1 水3,水1 水3,水1
大宮町上常吉,,月 木,金3,水1 水3,水1 水3,水1 水3,水1 水3,水1
大宮町下常吉,,月 木,金3,水1 水3,水1 水3,水1 水3,水1 水3,水1
大宮町三重,,火 金,月3,木1 木3,木1 木3,木1 木3,木1 木3,木1
大宮町森本,,火 金,月3,木1 木3,木1 木3,木1 木3,木1 木3,木1
大宮町谷内,,火 金,月3,木1 木3,木1 木3,木1 木3,木1 木3,木1
大宮町三坂,,火 金,月3,木1 木3,木1 木3,木1 木3,木1 木3,木1
大宮町五十河,,火 金,月3,木1 木3,木1 木3,木1 木3,木1 木3,木1
大宮町延利,,火 金,月3,木1 木3,木1 木3,木1 木3,木1 木3,木1
大宮町久住,,火 金,月3,木1 木3,木1 木3,木1 木3,木1 木3,木1
大宮町明田,,火 金,月3,木1 木3,木1 木3,木1 木3,木1 木3,木1
大宮町新宮,,火 金,月3,木1 木3,木1 木3,木1 木3,木1 木3,木1
大宮町周枳,,火 金,月3,木1 木3,木1 木3,木1 木3,木1 木3,木1
大宮町河辺,,水 土,木3,火1 火3,火1 火3,火1 火3,火1 火3,火1
大宮町善王寺,,水 土,木3,火1 火3,火1 火3,火1 火3,火1 火3,火1
網野町水之江,,火 金,火1,火1 火3,火2 火4,火2 火4,火2 火4,火3
網野町住吉,,火 金,月1,月1 月3,月2 月4,月2 月4,月2 月4,月3
網野町上小路,,火 金,月1,月1 月3,月2 月4,月2 月4,月2 月4,月3
網野町北大路,,火 金,木1,木1 木3,木2 木4,木2 木4,木2 木4,木3
網野町浅茂川,,水 土,火1,火1 火3,火2 火4,火2 火4,火2 火4,火3
網野町桃山,,火 金,月1,月1 月3,月2 月4,月2 月4,月2 月4,月3
網野町長田,,火 金,月1,月1 月3,月2 月4,月2 月4,月2 月4,月3
網野町福田,,火 金,月1,月1 月3,月2 月4,月2 月4,月2 月4,月3
網野町御陵,,火 金,月1,月1 月3,月2 月4,月2 月4,月2 月4,月3
網野町下岡,,月 木,木1,木1 木3,木2 木4,木2 木4,木2 木4,木3
網野町小浜,,火 金,水1,水1 水3,水2 水4,水2 水4,水2 水4,水3
網野町磯,,水 土,火1,火1 火3,火2 火4,火2 火4,火2 火4,火3
網野町島津,,水 土,水1,水1 水3,水2 水4,水2 水4,水2 水4,水3
網野町仲禅寺,,水 土,水1,水1 水3,水2 水4,水2 水4,水2 水4,水3
網野町掛津,,水 土,水1,水1 水3,水2 水4,水2 水4,水2 水4,水3
網野町遊,,水 土,水1,水1 水3,水2 水4,水2 水4,水2 水4,水3
網野町三津,,水 土,水1,水1 水3,水2 水4,水2 水4,水2 水4,水3
網野町高橋,,月 木,木1,木1 木3,木2 木4,木2 木4,木2 木4,木3
網野町公庄,,月 木,木1,木1 木3,木2 木4,木2 木4,木2 木4,木3
網野町郷,,月 木,木1,木1 木3,木2 木4,木2 木4,木2 木4,木3
網野町生野内,,月 木,木1,木1 木3,木2 木4,木2 木4,木2 木4,木3
網野町切畑,,月 木,木1,木1 木3,木2 木4,木2 木4,木2 木4,木3
網野町新庄,,月 木,木1,木1 木3,木2 木4,木2 木4,木2 木4,木3
網野町木津,,月 木,金1,金1 金3,金2 金4,金2 金4,金2 金4,金3
網野町浜詰,,月 木,金1,金1 金3,金2 金4,金2 金4,金2 金4,金3
網野町塩江,,月 木,金1,金1 金3,金2 金4,金2 金4,金2 金4,金3
丹後町間人岡成,,火 金,水1,水1 水3,水2 水4,水2 水4,水2 水4,水3
丹後町間人谷,,火 金,水1,水1 水3,水2 水4,水2 水4,水2 水4,水3
丹後町間人向地,,火 金,水1,水1 水3,水2 水4,水2 水4,水2 水4,水3
丹後町間人小泊,,火 金,木1,木1 木3,木2 木4,木2 木4,木2 木4,木3
丹後町間人小間東,,火 金,木1,木1 木3,木2 木4,木2 木4,木2 木4,木3
丹後町間人小間西,,火 金,木1,木1 木3,木2 木4,木2 木4,木2 木4,木3
丹後町間人砂方,,火 金,木1,木1 木3,木2 木4,木2 木4,木2 木4,木3
丹後町成願寺,,月 木,火1,火1 火3,火2 火4,火2 火4,火2 火4,火3
丹後町徳光,,月 木,火1,火1 火3,火2 火4,火2 火4,火2 火4,火3
丹後町三宅,,月 木,火1,火1 火3,火2 火4,火2 火4,火2 火4,火3
丹後町大山,,月 木,火1,火1 火3,火2 火4,火2 火4,火2 火4,火3
丹後町岩木,,月 木,火1,火1 火3,火2 火4,火2 火4,火2 火4,火3
丹後町是安,,月 木,火1,火1 火3,火2 火4,火2 火4,火2 火4,火3
丹後町吉永,,月 木,火1,火1 火3,火2 火4,火2 火4,火2 火4,火3
丹後町矢畑,,月 木,火1,火1 火3,火2 火4,火2 火4,火2 火4,火3
丹後町竹野,,月 木,金1,金1 金3,金2 金4,金2 金4,金2 金4,金3
丹後町宮,,月 木,金1,金1 金3,金2 金4,金2 金4,金2 金4,金3
丹後町牧の谷,,月 木,金1,金1 金3,金2 金4,金2 金4,金2 金4,金3
丹後町願興寺,,月 木,金1,金1 金3,金2 金4,金2 金4,金2 金4,金3
丹後町家の谷,,月 木,金1,金1 金3,金2 金4,金2 金4,金2 金4,金3
丹後町筆石,,月 木,金1,金1 金3,金2 金4,金2 金4,金2 金4,金3
丹後町乗原,,月 木,金1,金1 金3,金2 金4,金2 金4,金2 金4,金3
丹後町此代,,水 土,金1,金1 金3,金2 金4,金2 金4,金2 金4,金3
丹後町平,,水 土,金1,金1 金3,金2 金4,金2 金4,金2 金4,金3
丹後町井上,,水 土,金1,金1 金3,金2 金4,金2 金4,金2 金4,金3
丹後町中野,,水 土,金1,金1 金3,金2 金4,金2 金4,金2 金4,金3
丹後町井谷,,水 土,金1,金1,金1,金1,金1,金1
丹後町畑,,水 土,金1,金1,金1,金1,金1,金1
丹後町遠下,,水 土,金1,金1 金3,金2 金4,金2 金4,金2 金4,金3
丹後町鞍内,,水 土,金1,金1 金3,金2 金4,金2 金4,金2 金4,金3
丹後町袖志,,水 土,月1,月1 月3,月2 月4,月2 月4,月2 月4,月3
丹後町尾和,,水 土,月1,月1 月3,月2 月4,月2 月4,月2 月4,月3
丹後町中浜,,水 土,月1,月1 月3,月2 月4,月2 月4,月2 月4,月3
丹後町久僧,,水 土,月1,月1 月3,月2 月4,月2 月4,月2 月4,月3
丹後町上野,,水 土,月1,月1 月3,月2 月4,月2 月4,月2 月4,月3
丹後町谷内,,水 土,月1,月1 月3,月2 月4,月2 月4,月2 月4,月3
丹後町上山,,水 土,月1,月1,月1,月1,月1,月1
弥栄町吉沢,,水 土,木1,木2 木4,木2 木4,木2 木4,木2 木4,木1
弥栄町芋野,,水 土,木1,木2 木4,木2 木4,木2 木4,木2 木4,木1
弥栄町堤,,水 土,木1,木2 木4,木2 木4,木2 木4,木2 木4,木1
弥栄町溝谷,,水 土,木1,木2 木4,木2 木4,木2 木4,木2 木4,木1
弥栄町外村,,月 木,金1,金2 金4,金2 金4,金2 金4,金2 金4,金1
弥栄町等楽寺,,月 木,金1,金2 金4,金2 金4,金2 金4,金2 金4,金1
弥栄町船木,,月 木,火1,火2 火4,火2 火4,火2 火4,火2 火4,火1
弥栄町黒部,,月 木,火1,火2 火4,火2 火4,火2 火4,火2 火4,火1
