名称,休止開始日,休止終了日
峰山クリーンセンターaaa,2022/12/29,2023/1/3
峰山クリーンセンター,2023/12/29,2024/1/3
峰山クリーンセンター,2024/12/29,2025/1/3
峰山クリーンセンター,2025/12/29,2026/1/3
峰山クリーンセンター,2026/12/29,2027/1/3
峰山最終処分場,2022/12/29,2023/1/3
峰山最終処分場,2023/12/29,2024/1/3
峰山最終処分場,2024/12/29,2025/1/3
峰山最終処分場,2025/12/29,2026/1/3
峰山最終処分場,2026/12/29,2027/1/3
大宮最終処分場,2022/12/29,2023/1/3
大宮最終処分場,2023/12/29,2024/1/3
大宮最終処分場,2024/12/29,2025/1/3
大宮最終処分場,2025/12/29,2026/1/3
大宮最終処分場,2026/12/29,2027/1/3
網野最終処分場,2022/12/29,2023/1/3
網野最終処分場,2023/12/29,2024/1/3
網野最終処分場,2024/12/29,2025/1/3
網野最終処分場,2025/12/29,2026/1/3
網野最終処分場,2026/12/29,2027/1/3
久美浜最終処分場,2022/12/29,2023/1/3
久美浜最終処分場,2023/12/29,2024/1/3
久美浜最終処分場,2024/12/29,2025/1/3
久美浜最終処分場,2025/12/29,2026/1/3
久美浜最終処分場,2026/12/29,2027/1/3
