type,name,notice,furigana
不燃ごみ,アイスピック,先端部分を保護して出してください。,あ
不燃ごみ,安全ピン,散らばらないようにして出してください。,あ
不燃ごみ,泡たて器,,あ
不燃ごみ,雨樋,事業活動によるものは、受入れできません。,あ
不燃ごみ,圧力鍋,,あ
不燃ごみ,空きびん（飲料用以外）,中身を使い切って出してください。,あ
不燃ごみ（粗大ごみ）,アンテナ・アンテナ支柱,,あ
不燃ごみ（粗大ごみ）,アコーディオンカーテン,,あ
不燃ごみ（粗大ごみ）,アタッシュケース,,あ
不燃ごみ（粗大ごみ）,編み機（毛糸編み機）,,あ
不燃ごみ（粗大ごみ）,アルミサッシ,ガラスなどをはずしてください。日曜大工で出たものに限ります。,あ
受入れできないもの,アルミホイール（自動車用）,購入店または専門業者へ引取りを依頼してください。,あ
受入れできないもの,畦シート,購入店または専門業者へ引取りを依頼してください。,あ
可燃ごみ,アルミ容器（鍋焼きうどん用）汚れているもの,,あ
可燃ごみ,アイスクリームのカップ（紙製）,,あ
可燃ごみ,アルバム,金属部分は取り除いてください。,あ
可燃ごみ,アイスノン（保冷剤）,,あ
可燃ごみ,アルミホイル（台所用）,,あ
可燃ごみ（粗大ごみ）,アイロン台（木製）,金属部分を外して出してください。,あ
容器包装プラスチック,アイスクリームのカップ（プラスチック製）,すすいでから出してください。,あ
容器包装プラスチック,油のプラスチック容器,中身を使い切って出してください（食器のすすぎ水などを利用してください）。,あ
小型家電,ICレコーダー,,あ
小型家電,IH調理器,小型家電ボックス（横60センチ たて25センチ）に入らないものは、不燃ごみとしてお出しください。,あ
小型家電,アイロン,,あ
空きびん,空きびん（飲料用）,空にして、すすいで、ふたを取って出してください。,あ
空き缶,アルミ容器（鍋焼きうどん用）汚れの無いもの,資源として再利用します。,あ
空き缶,油の缶,空にして、すすいで出してください。,あ
空き缶,空き缶,空にして、すすいで出してください。,あ
不燃ごみ,インクリボン,店頭回収をご利用ください。,い
不燃ごみ,育毛剤の容器（びん）,空きびんではありません。,い
不燃ごみ,入歯,,い
不燃ごみ,印鑑ケース,,い
不燃ごみ,一升びんのふた,,い
